kanji,hanviet,hiragana,meaning
辺り,biên,あたり,"gần, lân cận"
周り,chu,まわり,"xung quanh, vòng quanh"
穴,huyệt,あな,lỗ
列,liệt,れつ,hàng
幅,phúc,はば,chiều rộng
範囲,"phạm, vi",はんい,phạm vi
内容,"nội, dung",ないよう,nội dung
中身,"trung, thân",なかみ,bên trong
特徴,"đặc, trưng",とくちょう,đặc trưng
普通,"phổ, thông",ふつう,bình thường
当たり前,đương,あたりまえ,đương nhiên
偽,ngụy,にせ,giả
別,biệt,べつ,khác
国籍,"quốc, tịch",こくせき,quốc tịch
東洋,"đông, dương",とうよう,phương đông
西洋,"tây, phương",せいよう,phương tây
国際,"quốc, tế",こくさい,quốc tế
自然,"tự, nhiên",しぜん,tự nhiên
景色,"phong, cảnh",けしき,phong cảnh
宗教,"tông, giáo",しゅうきょう,tôn giáo
愛,yêu,あい,yêu
届く,giới,とどく,được giao đến
届ける,giới,とどける,giao đến
かく,,かく,gãi
つかむ,,つかむ,"tóm, chộp"
握る,ác,にぎる,nắm chặt
抑える,ức,おさえる,giữ
近づく,cận,ちかづく,lại gần
近づける,cận,ちかづける,mang đến gần
合う,hợp,あう,gặp
合わせる,hợp,あわせる,"tập hợp, hiệp lực"
当たる,đương,あたる,bị đánh
当てる,đương,あてる,đánh
比べる,tỉ,くらべる,so sánh
似合う,"dĩ, hợp",にあう,hợp
似る,dĩ,にる,giống
似せる,dĩ,にせる,bắt chước
分かれる,phân,わかれる,được chia ra
分ける,phân,わける,chia
足す,túc,たす,"cộng, thêm vào"
引く,dẫn,ひく,"kéo, trừ"
増える,tăng,ふえる,tăng lên
増やす,tăng,ふやす,làm tăng lên
減る,giảm,へる,giảm xuống
減らす,giảm,へらす,làm giảm xuống
変わる,biến,かわる,thay đổi
変える,biến,かえる,làm thay đổi
代わる・替わる・換わる,"đại, thế, hoán",かわる,thay
代える・替える・換える,"đại, thế, hoán",かえる,đổi
返る,phản,かえる,được trả lại
返す,phản,かえす,trả lại
譲る,nhượng,ゆずる,nhường
助かる,trợ,たすかる,được giúp
助ける,trợ,たすける,giúp
いじめる,,いじめる,bắt nạt
だまる,,だまる,lừa
盗む,đạo,ぬすむ,lấy cắp
刺さる,thích,ささる,bị đâm
刺す,thích,さす,đâm
殺す,sát,ころす,giết
隠れる,ẩn,かくれる,"ẩn náu, trốn"
隠す,ẩn,かくす,che giấu
埋まる,mai,うまる,bị chôn
埋める,mai,うめる,chôn
囲む,vi,かこむ,vây quanh
詰まる,cật,つまる,"đầy, chặt"
詰める,cật,つめる,đóng gói
開く,khai,ひらく,mở
閉じる,bế,とじる,dđóng
飛ぶ,phi,とぶ,bay
飛ばす,phi,とばす,cho bay
振る,chấn,ふる,"rung, vẫy"
めくる,,めくる,lật lên
見かける,kiến,みかける,tình cờ thấy
確かめる,xác,たしかめる,kiểm tra lại
試す,thí,ためす,thử
繰り返す,"sào, phản",くりかえす,lặp lại
訳す,dịch,やくす,dịch
行う,hành,おこなう,tổ chức
間違う,"gian, vi",まちがう,bị sai
間違える,"gian, vi",まちがえる,làm sai
許す,hứa,ゆるす,"tha thứ, cho phép"
慣れる,quán,なれる,quen
慣らす,quán,ならす,khởi động
立つ,lập,たつ,đứng
立てる,lập,たてる,dựng lên
建つ,kiến,たつ,được xây
建てる,kiến,たてる,xây
育つ,dục,そだつ,được nuôi dạy
育てる,dục,そだてる,"nuôi, dạy"
生える,sinh,はえる,mọc
生やす,sinh,はやす,nuôi(râu)
汚れる,ô,よごれる,bị bẩn
汚す,ô,よごす,làm bẩn
壊れる,hoại,こわれる,bị hỏng
壊す,hoại,こわす,làm hỏng
割れる,cát,われる,bị vỡ
割る,cát,わる,làm vỡ
折れる,chiết,おれる,bị gãy
折る,chiết,おる,làm gãy
破れる,phá,やぶれる,bị rách
破る,phá,やぶる,xé rách
曲がる,khúc,まがる,"gập, cong"
曲げる,khúc,まげる,"bẻ, uốn"
外れる,ngoại,はずれる,bị rời ra
外す,ngoại,はずす,tách ra
揺れる,dao,ゆれる,bị rung
揺らす,dao,ゆらす,đung đưa
流れる,lưu,ながれる,chảy
流す,lưu,ながす,cho chảy
濡れる,nhu,ぬれる,bị ướt
濡らす,nhu,ぬらす,làm ướt
迷う,mê,まよう,lạc đường
悩む,não,なやむ,băn khoăn
慌てる,hoảng,あわてる,vội vàng
覚める,giác,さめる,thức dậy
覚ます,giác,さます,"mở mắt, tỉnh"
眠る,miên,ねむる,ngủ
祈る,kì,いのる,"cầu, khấn"
祝う,chúc,いわう,ăn mừng
感じる,cảm,かんじる,cảm thấy
クラスメート,,クラスメート,bạn cùng lớp
グループ,,グループ,nhóm
チーム,,チーム,đội
プロフェッショナル,,プロフェッショナル,chuyên nghiệp
アマチュア,,アマチュア,nghiệp dư
トレーニング,,トレーニング,đào tạo
マッサージ,,マッサージ,mát xa
アドバイス,,アドバイス,khuyên
アイデア・アイディア,,アイデア・アイディア,ý tưởng
トップ,,トップ,top
スピード,,スピード,tốc độ
ラッシュ,,ラッシュ,đông đúc
バイク,,バイク,xe máy
ヘルメット,,ヘルメット,mũ bảo hiểm
コンタクトレンズ,,コンタクトレンズ,kính áp tròng
ガラス,,ガラス,kính
プラスチック,,プラスチック,nhựa
ベランダ,,ベランダ,ban công
ペット,,ペット,thú cưng
ベンチ,,ベンチ,ghế bành
デザイン,,デザイン,thiết kế
バーゲンセール,,バーゲンセール,sale
パート,,パート,làm thêm
コンビニエンスストア,,コンビニエンスストア,cửa hàng tiện ích
レジ,,レジ,máy tính tiền
レシート,,レシート,hóa đơn
インスタント,,インスタント,ăn liền
ファストフード,,ファストフード,đồ ăn nhanh
フルーツ,,フルーツ,trái cây
デザート,,デザート,tráng miệng
インターネット,,インターネット,internet
チャイム,,チャイム,chuông
アナウンス,,アナウンス,thông báo
メッセージ,,メッセージ,tin nhắn
パンフレット,,パンフレット,tờ rơi
カード,,カード,card
インタビュー,,インタビュー,phỏng vấn
アンケート,,アンケート,tờ câu hỏi
データ,,データ,dữ liệu
パーセント,,パーセント,phần trăm
濃い,nồng,こい,"đậm, đặc"
薄い,bạc,うすい,"mỏng, nhạt"
酸っぱい,toan,すっぱい,chua
臭い,xú,くさい,thối
おかしい,,おかしい,lạ
かっこいい,,かっこいい,bảnh bao
うまい,,うまい,ngon
親しい,thân,したしい,thân thiết
詳しい,tường,くわしい,chi tiết
細かい,tế,こまかい,"tiểu tiết, bé"
浅い,thiển,あさい,nông
固い・硬い,"cố, ngạnh",かたい,cứng
ぬるい,,ぬるい,nguội
まぶしい,,まぶしい,chói
蒸し暑い,"chưng, thử",むしあつい,nóng ẩm
清潔な,"thanh, khiết",せいけつな,sạch
新鮮な,"tân, tiên",しんせんな,tươi
豊かな,phong,ゆたかな,giàu có
立派な,lập,りっぱな,siêu
正確な,"chính, xác",せいかくな,chính xác
確かな,xác,たしかな,đích thực
重要な,"trọng, yếu",じゅうような,quan trọng
必要な,"tất, yếu",ひつような,cần thiết
もったいない,,もったいない,lãng phí
すごい,,すごい,"ghê, siêu"
ひどい,,ひどい,tồi
激しい,kích,はげしい,mãnh liệt
そっくりな,,そっくりな,giống
急な,cấp,きゅうな,đột nhiên
敵とな,thích,てきとな,phù hợp
特別な,"đặc, biệt",とくべつな,đặc biệt
完全な,"hoàn, toàn",かんぜんな,toàn bộ
盛んな,thịnh,さかんな,thịnh vượng
様々な,dạng,さまざまな,đa đạng
可能な,"khả, năng",かのうな,khả thi
不可能な,"bất, khả, năng",ふかのうな,bất khả thi
基本的な,"cơ, bản, đích",きほんてきな,cơ bản
国際的な,"quốc, tế, đích",こくさいてきな,tính quốc tế
ばらばらな,,ばらばらな,"tung tóe, chia rẽ"
ぼろぼろな,,ぼろぼろな,"rách nát, te tua"
大変に,"đại, biến",たいへんに,"khủng khiếp, rất nhiều"
ほとんど,,ほとんど,gần như hoàn toàn
大体,"đại, thể",だいたい,"phần lớn, trong khoảng"
かなり,,かなり,khá
ずいぶん,,ずいぶん,đáng kể
けっこう,,けっこう,rất
大分,"đại, phân",ずいぶん,"chủ yếu, khá"
もっと,,もっと,"hơn, nữa"
しっかり,,しっかり,toàn bộ
いっぱい,,いっぱい,đầy
ぎりぎり,,ぎりぎり,"gần, sát nút"
ぴったり,,ぴったり,"vừa vặn, đúng"
たいてい,,たいてい,"đại thể, thường"
同時に,"đồng, thời",どうじに,cùng lúc
前もって,tiền,まえもって,trước
すぐに,,すぐに,ngay lập tức
もうすぐ,,もうすぐ,sắp
突然,"đột, nhiên",とつぜん,đột nhiên
あっという間に,gian,あっというまに,loáng một cái
いつの間にか,gian,いつのまにか,lúc nào không biết
しばらく,,しばらく,một chút
ずっと,,ずっと,"suốt, nhiều"
相変わらず,"tương, biến",あいかわらず,như mọi khi
次々に,thứ,つぎつぎに,lần lượt
どんどん,,どんどん,dần dần
ますます,,ますます,càng ngày càng
やっと,,やっと,"cuối cùng, vừa đủ"
とうとう,,とうとう,"sau cùng, cuối cùng, sau tất cả"
ついに,,ついに,"cuối cùng, sau cùng"
もちろん,,もちろん,tất nhiên
やはり,,やはり,như dự tính
きっと,,きっと,nhất định
ぜひ,,ぜひ,"bằng mọi giá, rất (muốn)"
なるべく,,なるべく,càng nhiều càng tốt
案外,"án, nội",あんがい,không ngờ đến
もしかすると・もしかしたら・もしかして,,もしかすると・もしかしたら・もしかして,có lẽ
まさか,,まさか,"không thể ngờ, không"
うっかり,,うっかり,"ngơ ngác, không để ý"
つい,,つい,"vô ý, buột"
思わず,tư,おもわず,không ngờ đến
ほっと,,ほっと,yên tâm
いらいら,,いらいら,"khó chịu, nóng giận"
